director,num_movies,avg_rating,total_votes,popularity_score
A. Hans Scheirl,1,3.51,440,3.51
A.V. Rockwell,1,3.79,31577,3.79
"Aaron B. Koontz, Chris McInroy",1,2.72,10624,2.72
"Aaron Blaise, Robert Walker",1,3.73,346341,3.73
"Aaron Hann, Mario Miscione",1,2.56,156476,2.56
"Aaron Horvath, Peter Rida Michail",1,3.21,72629,3.21
Aaron Lipstadt,1,2.39,769,2.39
"Aaron Moorhead, Justin Benson",2,3.395,105149,6.79
"Aaron Nee, Adam Nee",1,2.75,297044,2.75
Aaron Norris,1,2.14,2264,2.14
Aaron Schneider,1,3.18,78243,3.18
Aaron Sorkin,3,3.4299999999999997,679764,10.29
Abbas Fahdel,1,4.15,1076,4.15
Abbas Kiarostami,2,4.155,106933,8.31
"Abby Kohn, Marc Silverstein",1,2.41,69664,2.41
Abdellatif Kechiche,1,3.24,289116,3.24
Abe Levitow,1,3.23,1494,3.23
Abel Ferrara,9,3.393333333333333,146220,30.54
Abel Gance,2,4.140000000000001,20110,8.280000000000001
Abraham Polonsky,1,3.65,8303,3.65
Adam Brooks,1,3.3,104043,3.3
Adam Curtis,1,4.24,6809,4.24
Adam Elliot,1,4.25,141356,4.25
Adam Green,2,2.79,48804,5.58
Adam Grossman,1,2.41,1864,2.41
Adam Marcus,1,1.7,63589,1.7
Adam McKay,7,3.3328571428571427,4248405,23.33
Adam Nimoy,1,3.65,5690,3.65
Adam Randall,1,2.32,14045,2.32
Adam Rifkin,4,3.2800000000000002,32498,13.120000000000001
Adam Rodgers,1,3.09,3165,3.09
Adam Shankman,4,2.895,516152,11.58
Adam Wingard,7,2.7842857142857143,1096415,19.49
"Adam Wingard, Gregg Hale",1,2.96,72298,2.96
Adam Wood,1,2.93,319,2.93
Adam Yauch,1,3.42,274,3.42
"Adil El Arbi, Bilall Fallah",1,2.81,139855,2.81
Adrian Lyne,6,3.14,508758,18.84
Adrienne Shelly,1,3.65,41927,3.65
Adrián García Bogliano,1,3.16,7287,3.16
Agnieszka Holland,1,3.8,11316,3.8
Agnès Varda,2,4.145,246565,8.29
"Agnès Varda, JR",1,4.14,42664,4.14
Ahn Ju-young,1,3.6,1043,3.6
Aisling Walsh,1,3.71,28586,3.71
Akira Kurosawa,7,4.42,1133636,30.939999999999998
Akiva Goldsman,1,2.4,14531,2.4
Akiva Schaffer,2,3.395,366999,6.79
Al Adamson,4,2.79,1860,11.16
"Al Campbell, Alice Mathias",1,2.72,58204,2.72
Alain Deruelle,1,2.17,941,2.17
Alain Fleischer,1,3.36,270,3.36
Alain Resnais,1,4.17,110376,4.17
Alain Robbe-Grillet,1,3.5,1784,3.5
Alan Arkin,1,3.7,8801,3.7
Alan Bunce,1,3.34,1141,3.34
Alan Clarke,1,3.67,10730,3.67
Alan Gibson,1,3.06,9581,3.06
Alan J. Pakula,7,3.5928571428571425,407327,25.15
"Alan Mak Siu-Fai, Andrew Lau",1,4.03,81421,4.03
Alan Metter,3,2.716666666666667,46176,8.15
Alan Myerson,1,2.47,1644,2.47
Alan Parker,4,3.5475,229893,14.19
Alan Rudolph,4,3.33,9852,13.32
Alan Shapiro,1,2.82,54714,2.82
"Alan Smithee, William Lustig",1,2.58,6505,2.58
Alan Taylor,1,2.24,940351,2.24
Alan Yang,1,3.32,14309,3.32
Alastair Fothergill,2,4.46,31097,8.92
Albert Band,1,2.81,6626,2.81
"Albert Birney, Kentucker Audley",1,3.39,1361,3.39
"Albert Hughes, Allen Hughes",2,3.3,75437,6.6
Albert Magnoli,1,3.41,36398,3.41
Albert Maysles,1,3.61,6163,3.61
"Albert Maysles, David Maysles",1,4.04,23992,4.04
Albert Pyun,13,2.664615384615385,62821,34.64
"Albert Pyun, Rusty Lemorande",1,2.54,592,2.54
"Albert Uderzo, René Goscinny",1,3.62,19003,3.62
"Alberto Cavalcanti, Charles Crichton",1,3.75,15616,3.75
Alberto De Martino,3,2.69,3745,8.07
Alberto Mar,1,2.38,1900,2.38
Aldo Lado,4,3.165,14821,12.66
Alec Baldwin,1,2.33,1809,2.33
Alejandro Amenábar,2,3.825,433721,7.65
Alejandro González Iñárritu,5,3.9159999999999995,2414297,19.58
Alejandro Jodorowsky,6,3.783333333333333,249125,22.7
"Alejandro Martínez Beltrán, Carlos Algara",1,2.87,1445,2.87
Alejandro Sessa,1,2.35,1272,2.35
Aleksander Bach,1,2.12,34370,2.12
Aleksandr Askoldov,1,3.81,1103,3.81
Aleksandr Sokurov,4,3.64,7406,14.56
Alessandro Pepe,1,2.84,226,2.84
Alessio Cremonini,1,3.73,13845,3.73
"Alessio Rigo de Righi, Matteo Zoppis",1,3.6,4967,3.6
Alex Cox,5,3.402,132714,17.01
Alex Garland,3,3.453333333333333,2127326,10.36
Alex Gibney,1,3.66,14454,3.66
Alex Hardcastle,1,2.13,147683,2.13
Alex Horwitz,1,3.82,2587,3.82
Alex Proyas,5,3.056,865747,15.280000000000001
Alex Richanbach,1,2.33,22993,2.33
Alex Ross Perry,3,3.426666666666667,59447,10.280000000000001
Alex Stapleton,1,3.73,3480,3.73
"Alex Stevens, Chester Fox",1,2.62,1348,2.62
Alex Timbers,1,3.85,66058,3.85
Alex Turner,1,2.68,4632,2.68
Alex Winter,1,3.77,8328,3.77
"Alex Winter, Tom Stern",1,3.58,16190,3.58
Alexander Kluge,1,3.45,505,3.45
Alexander Korda,1,3.51,3144,3.51
Alexander Mackendrick,2,3.84,53966,7.68
Alexander Nanau,1,4.0,22150,4.0
Alexander Payne,5,3.886,1612854,19.43
Alexandra-Therese Keining,1,3.37,8426,3.37
Alexandre Aja,6,2.841666666666667,476362,17.05
"Alexandre Bustillo, Julien Maury",1,2.88,7287,2.88
Alexandre Lehmann,1,3.8,53164,3.8
Alexandre O. Philippe,1,3.4,8117,3.4
Alfonso Arau,1,3.21,14287,3.21
Alfonso Brescia,2,2.7649999999999997,1233,5.529999999999999
Alfonso Corona,1,1.98,1397,1.98
Alfonso Cuarón,9,3.6666666666666665,3611312,33.0
Alfonso Gomez-Rejon,2,3.4699999999999998,266299,6.9399999999999995
Alfred Hitchcock,18,3.8066666666666666,2932908,68.52
Alfred L. Werker,6,3.275,10493,19.65
Alfred Sole,1,3.38,27525,3.38
Alfredo Soderguit,1,3.57,1389,3.57
Alfredo Zacarías,2,2.585,6220,5.17
Ali Selim,1,2.01,69076,2.01
Alice Lowe,1,3.1,16407,3.1
Alice Wu,1,3.24,229589,3.24
Alison Maclean,2,3.455,4227,6.91
Allan Arkush,1,3.48,16810,3.48
Allan Dwan,1,3.47,1919,3.47
Allan Holzman,1,2.83,8377,2.83
Allan Moyle,2,3.63,149160,7.26
Allen Coulter,1,3.15,153012,3.15
Allen Hughes,1,2.67,15440,2.67
"Allen Hughes, Albert Hughes",1,3.25,154354,3.25
Allison Burnett,1,2.68,7495,2.68
Ally Pankiw,1,3.14,177885,3.14
Alma Har'el,2,3.775,160225,7.55
Amanda Harlib,1,3.26,293,3.26
Amando de Ossorio,2,3.075,8135,6.15
Amir Shervan,4,2.63,25722,10.52
Amma Asante,1,3.49,23133,3.49
Amman Abbasi,1,3.47,1287,3.47
Amos Kollek,1,3.09,507,3.09
Amy Heckerling,5,3.258,1439986,16.29
Amy Holden Jones,1,3.0,77581,3.0
Amy Poehler,1,2.6,43597,2.6
Amy Scott,1,3.63,2111,3.63
Amy Seimetz,2,3.115,34581,6.23
Ana Lily Amirpour,2,3.1849999999999996,165270,6.369999999999999
Anand Tucker,2,3.5300000000000002,7483,7.0600000000000005
"Anatole Litvak, Jean Negulesco",1,3.51,1145,3.51
